modo,num_threads,tamanho,num_geracoes,tempo_ms
faixas,1,256,100,256.96
faixas,4,256,100,79.09
faixas,9,256,100,61.38
faixas,16,256,100,69.77
faixas,25,256,100,86.70
faixas,36,256,100,123.49
faixas,49,256,100,167.05
faixas,64,256,100,221.99
faixas,81,256,100,277.29
faixas,100,256,100,348.38
faixas,1,512,100,976.56
faixas,4,512,100,312.54
faixas,9,512,100,223.59
faixas,16,512,100,155.99
faixas,25,512,100,188.56
faixas,36,512,100,177.67
faixas,49,512,100,199.89
faixas,64,512,100,241.31
faixas,81,512,100,290.37
faixas,100,512,100,362.84
faixas,1,1024,100,3871.64
faixas,4,1024,100,1083.82
faixas,9,1024,100,857.36
faixas,16,1024,100,555.02
faixas,25,1024,100,664.89
faixas,36,1024,100,616.36
faixas,49,1024,100,620.78
faixas,64,1024,100,635.18
faixas,81,1024,100,653.20
faixas,100,1024,100,712.25
faixas,1,2048,100,15447.32
faixas,4,2048,100,4025.74
faixas,9,2048,100,3287.41
faixas,16,2048,100,2171.82
faixas,25,2048,100,2453.83
faixas,36,2048,100,2358.18
faixas,49,2048,100,2329.35
faixas,64,2048,100,2332.29
faixas,81,2048,100,2356.98
faixas,100,2048,100,2398.01
faixas,1,4096,100,61631.79
faixas,4,4096,100,15994.87
faixas,9,4096,100,12140.67
faixas,16,4096,100,8986.70
faixas,25,4096,100,9914.93
faixas,36,4096,100,9670.13
faixas,49,4096,100,9543.82
faixas,64,4096,100,9492.68
faixas,81,4096,100,9473.36
faixas,100,4096,100,9457.36
faixas,1,8192,100,245899.10
faixas,4,8192,100,65369.49
faixas,9,8192,100,47638.52
faixas,16,8192,100,38707.05
faixas,25,8192,100,40422.52
faixas,36,8192,100,39846.26
faixas,49,8192,100,39590.88
faixas,64,8192,100,38918.06
faixas,81,8192,100,39045.41
faixas,100,8192,100,39035.25
faixas,1,16384,100,987181.02
faixas,4,16384,100,266041.95
faixas,9,16384,100,192430.35
faixas,16,16384,100,156861.60
faixas,25,16384,100,158445.76
faixas,36,16384,100,157180.52
faixas,49,16384,100,156391.35
faixas,64,16384,100,155711.35
faixas,81,16384,100,155727.17
faixas,100,16384,100,155413.90
janelas,1,256,100,265.82
janelas,4,256,100,81.88
janelas,9,256,100,68.96
janelas,16,256,100,71.86
janelas,25,256,100,93.61
janelas,36,256,100,131.35
janelas,49,256,100,176.59
janelas,64,256,100,236.40
janelas,81,256,100,287.08
janelas,100,256,100,360.33
janelas,1,512,100,1050.33
janelas,4,512,100,340.92
janelas,9,512,100,254.57
janelas,16,512,100,181.66
janelas,25,512,100,209.63
janelas,36,512,100,208.90
janelas,49,512,100,223.59
janelas,64,512,100,269.15
janelas,81,512,100,317.74
janelas,100,512,100,391.48
janelas,1,1024,100,3988.57
janelas,4,1024,100,1188.80
janelas,9,1024,100,1005.70
janelas,16,1024,100,762.04
janelas,25,1024,100,743.34
janelas,36,1024,100,705.56
janelas,49,1024,100,696.65
janelas,64,1024,100,703.66
janelas,81,1024,100,723.75
janelas,100,1024,100,770.64
janelas,1,2048,100,15426.44
janelas,4,2048,100,4193.34
janelas,9,2048,100,3407.75
janelas,16,2048,100,2374.79
janelas,25,2048,100,2683.91
janelas,36,2048,100,2578.55
janelas,49,2048,100,2521.37
janelas,64,2048,100,2493.68
janelas,81,2048,100,2538.94
janelas,100,2048,100,2564.68
janelas,1,4096,100,62030.59
janelas,4,4096,100,16186.02
janelas,9,4096,100,12364.56
janelas,16,4096,100,9472.21
janelas,25,4096,100,10390.98
janelas,36,4096,100,10151.76
janelas,49,4096,100,10007.42
janelas,64,4096,100,10145.37
janelas,81,4096,100,9865.55
janelas,100,4096,100,9845.76
janelas,1,8192,100,245889.20
janelas,4,8192,100,64853.42
janelas,9,8192,100,47148.39
janelas,16,8192,100,37541.43
janelas,25,8192,100,40524.13
janelas,36,8192,100,39619.16
janelas,49,8192,100,39089.72
janelas,64,8192,100,38907.63
janelas,81,8192,100,39439.33
janelas,100,8192,100,40400.04
janelas,1,16384,100,990861.71
janelas,4,16384,100,260278.94
janelas,9,16384,100,187366.45
janelas,16,16384,100,154978.99
janelas,25,16384,100,157816.38
janelas,36,16384,100,156817.32
janelas,49,16384,100,155413.01
janelas,64,16384,100,155550.74
janelas,81,16384,100,155038.41
janelas,100,16384,100,155085.53
