implementacao,tamanho,workers,tempo_ms
MPI,512,1,2013
MPI,512,2,1906
MPI,512,4,1831
MPI,512,8,2430
MPI,512,16,1675
MPI,512,24,1529
MPI,512,32,2072
MPI,512,48,3364
MPI,512,64,3883
MPI,1024,1,2816
MPI,1024,2,1908
MPI,1024,4,1952
MPI,1024,8,2354
MPI,1024,16,1555
MPI,1024,24,1772
MPI,1024,32,2556
MPI,1024,48,3798
MPI,1024,64,3515
MPI,2048,1,8406
MPI,2048,2,6299
MPI,2048,4,4367
MPI,2048,8,3751
MPI,2048,16,2409
MPI,2048,24,2653
MPI,2048,32,2786
MPI,2048,48,5482
MPI,2048,64,7209
MPI,4096,1,33252
MPI,4096,2,18847
MPI,4096,4,13491
MPI,4096,8,9482
MPI,4096,16,6548
MPI,4096,24,5717
MPI,4096,32,5555
MPI,4096,48,6536
MPI,4096,64,12466
