implementacao,tamanho,workers,tempo_ms
pthread,512,1,1011
pthread,512,2,784
pthread,512,4,459
pthread,512,8,284
pthread,512,16,258
pthread,512,24,323
pthread,512,32,311
pthread,512,48,321
pthread,512,64,334
pthread,1024,1,3219
pthread,1024,2,2138
pthread,1024,4,1429
pthread,1024,8,1084
pthread,1024,16,822
pthread,1024,24,760
pthread,1024,32,623
pthread,1024,48,550
pthread,1024,64,570
pthread,2048,1,13830
pthread,2048,2,8588
pthread,2048,4,5109
pthread,2048,8,3688
pthread,2048,16,2481
pthread,2048,24,2455
pthread,2048,32,2561
pthread,2048,48,2529
pthread,2048,64,2345
pthread,4096,1,55918
pthread,4096,2,35291
