modo,num_threads,tamanho,num_geracoes,tempo_ms
janelas,1,256,100,25.44
janelas,4,256,100,14.39
janelas,9,256,100,11.85
janelas,16,256,100,10.12
janelas,25,256,100,10.93
janelas,36,256,100,11.99
janelas,49,256,100,12.93
janelas,64,256,100,14.77
janelas,81,256,100,18.37
janelas,100,256,100,19.85
janelas,1,512,100,98.37
janelas,4,512,100,42.55
janelas,9,512,100,23.89
janelas,16,512,100,26.37
janelas,25,512,100,26.39
janelas,36,512,100,28.91
janelas,49,512,100,31.51
janelas,64,512,100,29.18
janelas,81,512,100,30.91
janelas,100,512,100,33.07
janelas,1,1024,100,372.64
janelas,4,1024,100,150.37
janelas,9,1024,100,74.91
janelas,16,1024,100,82.61
janelas,25,1024,100,81.78
janelas,36,1024,100,80.19
janelas,49,1024,100,82.85
janelas,64,1024,100,84.01
janelas,81,1024,100,82.75
janelas,100,1024,100,82.94
janelas,1,2048,100,1479.20
janelas,4,2048,100,581.23
janelas,9,2048,100,324.65
janelas,16,2048,100,325.75
janelas,25,2048,100,344.99
janelas,36,2048,100,351.75
janelas,49,2048,100,367.93
janelas,64,2048,100,393.02
janelas,81,2048,100,380.40
janelas,100,2048,100,403.25
janelas,1,4096,100,5866.55
janelas,4,4096,100,2272.55
janelas,9,4096,100,1206.41
janelas,16,4096,100,1521.28
janelas,25,4096,100,2098.08
janelas,36,4096,100,2204.91
janelas,49,4096,100,2190.99
janelas,64,4096,100,2723.52
janelas,81,4096,100,2348.47
janelas,100,4096,100,2423.26
janelas,1,8192,100,23353.44
janelas,4,8192,100,9690.56
janelas,9,8192,100,10458.32
janelas,16,8192,100,10699.31
janelas,25,8192,100,10375.35
janelas,36,8192,100,10505.87
janelas,49,8192,100,10660.05
janelas,64,8192,100,10602.56
janelas,81,8192,100,10620.71
janelas,100,8192,100,11199.58
janelas,1,16384,100,93161.98
janelas,4,16384,100,49990.34
janelas,9,16384,100,44433.26
janelas,16,16384,100,43754.43
janelas,25,16384,100,41985.06
janelas,36,16384,100,42579.04
janelas,49,16384,100,42679.78
janelas,64,16384,100,43071.27
janelas,81,16384,100,43797.67
janelas,100,16384,100,43999.28
faixas,1,256,100,28.51
faixas,4,256,100,14.71
faixas,9,256,100,10.57
faixas,16,256,100,11.44
faixas,25,256,100,11.68
faixas,36,256,100,13.97
faixas,49,256,100,15.50
faixas,64,256,100,15.19
faixas,81,256,100,15.28
faixas,100,256,100,19.17
faixas,1,512,100,96.23
faixas,4,512,100,40.49
faixas,9,512,100,22.61
faixas,16,512,100,27.96
faixas,25,512,100,26.92
faixas,36,512,100,25.96
faixas,49,512,100,26.07
faixas,64,512,100,28.96
faixas,81,512,100,30.13
faixas,100,512,100,34.51
faixas,1,1024,100,377.84
faixas,4,1024,100,148.49
faixas,9,1024,100,70.42
faixas,16,1024,100,82.40
faixas,25,1024,100,76.69
faixas,36,1024,100,76.35
faixas,49,1024,100,85.41
faixas,64,1024,100,77.39
faixas,81,1024,100,79.29
faixas,100,1024,100,81.14
faixas,1,2048,100,1502.82
faixas,4,2048,100,576.04
faixas,9,2048,100,282.82
faixas,16,2048,100,346.44
faixas,25,2048,100,324.74
faixas,36,2048,100,340.35
faixas,49,2048,100,360.34
faixas,64,2048,100,414.75
faixas,81,2048,100,466.48
faixas,100,2048,100,425.49
faixas,1,4096,100,5933.01
faixas,4,4096,100,2277.00
faixas,9,4096,100,1262.89
faixas,16,4096,100,1726.16
faixas,25,4096,100,2287.69
faixas,36,4096,100,2536.58
faixas,49,4096,100,2462.54
faixas,64,4096,100,2628.17
faixas,81,4096,100,2943.26
faixas,100,4096,100,2747.59
faixas,1,8192,100,23469.98
faixas,4,8192,100,9657.60
faixas,9,8192,100,10480.42
faixas,16,8192,100,10952.46
faixas,25,8192,100,10645.61
faixas,36,8192,100,11041.62
faixas,49,8192,100,11039.44
faixas,64,8192,100,10978.73
faixas,81,8192,100,11195.85
faixas,100,8192,100,11866.15
faixas,1,16384,100,93791.88
faixas,4,16384,100,51448.44
faixas,9,16384,100,44166.53
faixas,16,16384,100,44004.82
faixas,25,16384,100,42768.39
faixas,36,16384,100,42566.71
faixas,49,16384,100,42989.69
faixas,64,16384,100,43438.52
faixas,81,16384,100,43698.78
faixas,100,16384,100,43449.62
